"BV_REPO_OFFICIAL_PRICE",400065,2
"BV_TRADE_REGISTRATION",400066,4
"BV_LAST_DAY_TRADE_REGISTRATION",400068,4
"BV_FUTURE",400069,2
"BV_BASIS_CONVERSION_FACTOR",400070,2
"BV_EUREX_ACCOUNT",400071,2
"BV_TRADE_FUTURE",400072,4
"BV_LAST_DAY_TRADE_FUTURE",400074,4
"BV_TRADE_FUTURE_PMS",400075,4
"BV_PORTFOLIO_RFCQ_REQUEST",400076,4
"BV_PORTFOLIO_RFCQ_DEALER_LIST_PREVIEW",400077,4
"BV_PORTFOLIO_RFCQ",400078,4
"BV_PORTFOLIO_RFCQ_QUOTE",400079,4
"BV_PORTFOLIO_RFCQ_DEPTH",400081,4
"BV_PORTFOLIO_RFCQ_SYNTHETIC_BOOK",400082,4
"BV_PORTFOLIO_RFCQ_ORDER",400083,4
"BV_PORTFOLIO_RFCQ_BUY_SIDE_SUMMARY",400085,4
"BV_PORTFOLIO_RFCQ_BUY_SIDE_SUMMARY_LEG",400086,4
"BV_LAST_DAY_PORTFOLIO_RFCQ_BUY_SIDE_SUMMARY",400089,4
"BV_LAST_DAY_PORTFOLIO_RFCQ_BUY_SIDE_SUMMARY_LEG",400090,4
"BV_PORTFOLIO_RFCQ_SELL_SIDE_SUMMARY",400091,4
"BV_PORTFOLIO_RFCQ_SELL_SIDE_SUMMARY_LEG",400092,4
"BV_LAST_DAY_PORTFOLIO_RFCQ_SELL_SIDE_SUMMARY",400095,4
"BV_LAST_DAY_PORTFOLIO_RFCQ_SELL_SIDE_SUMMARY_LEG",400096,4
"BV_MWC_BOND",400019,2
"BV_DEALER_BRANCH",400100,4
"TI_BOND_TRANSPARENCY_DEFERRAL_ATTRIBUTES",100240,2
"BV_BOND_LISTING_REQUEST",400102,4
"BV_CANCEL_PORTFOLIO_RFCQ",115012,4
"BV_RATING_CATEGORY",400103,2
"BV_TRADE_SALES_DEFINITION",400105,4
"BV_LAST_DAY_TRADE_SALES_DEFINITION",400106,4
"BV_MEMBER_SALES_EXCEPTION",400104,4
"BV_MOC_FIXING_PRICE",400101,4
"BV_MOC_FIXING_PRICE_FLOW",115011,4
